critic_cn,critic_name,critic_org,movie_dir,movie_name,movie_rank,movie_yr,genre,dir_country
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Pietro Marcello,Lost and Beautiful,10,2015,drama and fantasy,Italy
Colombia,Mauricio Reina,El Tiempo,Julian Schnabel,The Diving Bell and the Butterfly,1,2007,drama,USA
Colombia,Mauricio Reina,El Tiempo,Abdellatif Kechiche,Blue Is the Warmest Color,2,2013,drama and romance,Tunisia
Colombia,Mauricio Reina,El Tiempo,Tomas Alfredson,Let the Right One In,3,2008,drama and horror,Sweden
Colombia,Mauricio Reina,El Tiempo,Joshua Oppenheimer,The Act of Killing,4,2012,documentary and crime,USA
Colombia,Mauricio Reina,El Tiempo,Guillermo Del Toro,Pan's Labyrinth,5,2006,drama fantasy and war,Mexico
Colombia,Mauricio Reina,El Tiempo,Paul Thomas Anderson,There Will Be Blood,6,2007,drama,USA
Colombia,Mauricio Reina,El Tiempo,Asghar Farhadi,A Separation,7,2011,drama and mystery,Iran
Colombia,Mauricio Reina,El Tiempo,Jacques Audiard,A Prophet,8,2009,crime and drama,France
Colombia,Mauricio Reina,El Tiempo,Andrew Stanton,WALL-E,9,2008,animation adventure family and sci-fi,USA
Colombia,Mauricio Reina,El Tiempo,Neill Blomkamp,District 9,10,2009,sci-fi,South Africa
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,Wong Kar-wai,In the Mood for Love,1,2000,drama and romance,China
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,László Nemes,Son of Saul,2,2015,drama and war,Hungary
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,Kathryn Bigelow,The Hurt Locker,3,2008,drama,USA
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,Jacques Audiard,The Beat That My Heart Skipped,4,2005,crime drama and music,France
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,Fatih Akin,The Edge of Heaven,5,2007,drama,Germany
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,Ari Folman,Waltz with Bashir,6,2008,animation biography and drama,Israel
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,Park Chan-wook,Oldboy,7,2003,action drama and mystery,South Korea
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,Wolfgang Becker,Good Bye Lenin!,8,2003,comedy drama and romance,Germany
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,Paweł Pawlikowski,Ida,9,2013,drama,Poland
Cuba,Antonio Mazón Robau,Cinemateca de Cuba,Denis Villeneuve,Incendies,10,2010,drama mystery and war,Canada
Mexico,Fernanda Solórzano,Letras Libres Magazine,David Lynch,Mulholland Drive,1,2001,drama mystery and thriller,USA
Mexico,Fernanda Solórzano,Letras Libres Magazine,László Nemes,Son of Saul,2,2015,drama and war,Hungary
Mexico,Fernanda Solórzano,Letras Libres Magazine,Paweł Pawlikowski,Ida,3,2013,drama,Poland
Mexico,Fernanda Solórzano,Letras Libres Magazine,Michel Gondry,Eternal Sunshine of the Spotless Mind,4,2004,drama romance and sci-fi,France
Mexico,Fernanda Solórzano,Letras Libres Magazine,Michael Haneke,The White Ribbon,5,2009,drama history mystery and thriller,Germany
Mexico,Fernanda Solórzano,Letras Libres Magazine,Hirokazu Koreeda,Still Walking,6,2008,drama,Japan
Mexico,Fernanda Solórzano,Letras Libres Magazine,Joshua Oppenheimer,The Act of Killing,7,2012,documentary and crime,USA
Mexico,Fernanda Solórzano,Letras Libres Magazine,Lars von Trier,Dogville,8,2003,crime and drama,Denmark
Mexico,Fernanda Solórzano,Letras Libres Magazine,Alejandro González Iñárritu,Birdman,9,2014,comedy and drama,Mexico
Mexico,Fernanda Solórzano,Letras Libres Magazine,Werner Herzog,Grizzly Man,10,2005,documentary and biography,Germany
